-250,50,0
-250,-50,0
-200,0,0
100,-310,0
120,-335,2
80,-335,2
100,-335,0
130,-325,0
70,-325,0
70,-345,0
130,-345,0
125,-910,0
75,-910,0
100,-935,2
125,-945,0
125,-925,0
75,-945,0
75,-925,0
-300,-200,0
-400,-200,0
-260,-125,0
-275,-135,2
-275,-115,2
-295,-115,2
-295,-135,2
0,350,0
0,250,0
10,325,0
10,275,0
-10,325,0
-10,275,0
-260,-75,0
-275,-85,2
-275,-65,2
-295,-65,2
-295,-85,2
200,-750,0
200,-650,0
0,-550,0
0,-450,0
-10,-525,0
-10,-475,0
10,-525,0
10,-475,0
-260,125,0
-275,115,2
-275,135,2
-295,135,2
-295,115,2
-600,0,0
-625,-20,2
-625,20,2
-625,0,0
-615,-30,0
-615,30,0
-635,30,0
-635,-30,0
-100,-400,0
-150,-450,0
25,-890,0
15,-875,2
35,-875,2
35,-855,2
15,-855,2
-400,0,0
-375,20,2
-375,-20,2
-375,0,0
-385,30,0
-385,-30,0
-365,-30,0
-365,30,0
-50,200,0
-75,180,2
-75,220,2
-75,200,0
-65,170,0
-65,230,0
-85,230,0
-85,170,0
150,-900,0
50,-900,0
125,-910,0
75,-910,0
125,-890,0
75,-890,0
-250,50,0
-250,150,0
-260,75,0
-240,75,0
-240,125,0
10,275,0
25,285,2
25,265,2
45,265,2
45,285,2
0,200,0
0,250,0
0,150,0
50,200,0
25,225,2
-25,175,2
0,175,2
25,175,2
25,200,2
0,225,2
-25,225,2
-25,200,2
300,-560,0
320,-585,2
280,-585,2
300,-585,0
330,-575,0
270,-575,0
270,-595,0
330,-595,0
-575,10,0
-525,10,0
-550,35,2
-575,45,0
-575,25,0
-525,45,0
-525,25,0
-100,-400,0
-50,-400,0
-75,-390,0
-85,-390,0
150,-300,0
165,-290,2
165,-310,2
185,-310,2
185,-290,2
-260,75,0
-275,65,2
-275,85,2
-295,85,2
-295,65,2
25,-910,0
-25,-910,0
0,-935,2
25,-945,0
25,-925,0
-25,-945,0
-25,-925,0
0,-250,0
0,-150,0
0,-550,0
20,-575,2
-20,-575,2
0,-575,0
30,-565,0
-30,-565,0
-30,-585,0
30,-585,0
-100,0,0
-200,0,0
325,-540,0
315,-525,2
335,-525,2
335,-505,2
315,-505,2
350,-554,0
365,-544,2
365,-564,2
385,-564,2
385,-544,2
50,-900,0
-50,-900,0
25,-910,0
-25,-910,0
25,-890,0
-25,-890,0
125,-290,0
75,-290,0
150,-300,0
50,-300,0
115,-875,2
135,-875,2
135,-855,2
115,-855,2
275,-540,0
350,-550,0
250,-550,0
150,190,0
170,165,2
130,165,2
150,165,0
180,175,0
120,175,0
120,155,0
180,155,0
100,0,1
0,-50,0
0,50,0
-25,25,2
-25,-25,2
25,-25,2
25,25,2
-50,0,2
50,0,2
0,0,2
50,-25,0
50,25,0
75,25,0
75,-25,0
-75,-25,0
-75,25,0
-240,125,0
-240,75,0
-215,100,2
-205,125,0
-225,125,0
-205,75,0
-225,75,0
0,50,0
0,150,0
115,-275,2
135,-275,2
135,-255,2
115,-255,2
175,210,0
125,210,0
150,190,0
200,200,0
100,200,0
75,190,0
85,190,0
-160,-725,0
-175,-735,2
-175,-715,2
-195,-715,2
-195,-735,2
65,-875,2
85,-875,2
85,-855,2
65,-855,2
-150,-850,0
-100,-900,0
200,-450,1
150,-550,0
200,-650,0
175,-575,2
225,-575,2
225,-525,2
175,-525,2
200,-600,2
200,-500,2
200,-550,2
225,-500,0
175,-500,0
175,-475,0
225,-475,0
225,-625,0
175,-625,0
200,-850,0
0,-450,0
0,-350,0
-50,-400,0
-160,-675,0
-175,-685,2
-175,-665,2
-195,-665,2
-195,-685,2
-250,-150,0
10,-475,0
10,-525,0
35,-500,2
45,-475,0
25,-475,0
45,-525,0
25,-525,0
165,225,2
185,225,2
185,245,2
165,245,2
-150,-650,0
-150,-550,0
0,-300,0
0,-250,0
0,-350,0
-50,-300,0
25,-275,2
-25,-325,2
0,-325,2
25,-325,2
25,-300,2
0,-275,2
-25,-275,2
-25,-300,2
-500,0,0
-525,-10,0
-575,-10,0
-575,10,0
-140,-675,0
-140,-725,0
-115,-700,2
